Link,blockchain,machine learning,deep learning,intelligenza artificiale,computer vision
www.archiviozegna.com/it/family_tree/140/detail,False,False,False,False,False
http://www.replay.it/it/replay-info,False,False,False,False,False
www.calzaturificiogensi.com,False,False,False,False,False
investor.brunellocucinelli.com,False,False,False,False,False
www.staffinternational.com,False,False,False,False,False
www.crisconf.it,False,False,False,False,False
www.herno.it,False,False,False,False,False
www.solbiati.it,False,False,False,False,False
www.fontanamilano1915.it,False,False,False,False,False
www.twin-set.com,False,False,False,False,False
www.todsgroup.com,False,False,False,False,False
www.stoneisland.com,False,False,False,False,False
www.maxmaraorders.com,False,False,False,False,False
www.mnorders.com,False,False,False,False,False
www.diesel.com,False,False,False,False,False
www.stefanoricci.com,False,False,False,False,False
www.isaseta.it,False,False,False,False,False
store.ferragamo.com,False,False,False,False,False
www.gucci.com,False,False,False,False,False
http://www.industries-group.com,False,False,False,False,False
http://www.gucci.com,False,False,False,False,False
web.campagnolo.it,False,False,False,False,False
http://www.alpinestarsinc.com,False,False,False,False,False
http://www.pollini.com,False,False,False,False,False
http://www.autry-usa.com/it,False,False,False,False,False
www.lowa.it,False,False,False,False,False
www.dainese.com,False,False,False,False,False
www.renatocorti.it,False,False,False,False,False
www.paulshark.it,False,False,False,False,False
www.nerogiardini.it,False,False,False,False,False
www.luisaspagnoli.com,False,False,False,False,False
www.nutiivo.it/nutiivo,False,False,False,False,False
www.rinomastrotto.com,False,False,False,False,False
www.goldenladycompany.com,False,False,False,False,False
dsquared2.com,False,False,False,False,False
www.swinger.it,False,False,False,False,False
http://www.leoshoes.it,False,False,False,False,False
www.mastrotto.com,False,False,False,False,False
www.ama-milano.it,False,False,False,False,False
gaudi-fashion.com/it_it/,False,False,False,False,False
www.giuseppezanotti.ru,False,False,False,False,False
www.sun68.com/it_it/,False,False,False,False,False
http://www.rossimoda.com,False,False,False,False,False
www.freelandcalzature.it,False,False,False,False,False
mabi.it,False,False,False,False,False
www.alexandermcqueen.com,False,False,False,False,False
www.goldengoose.com,False,False,False,False,False
www.guerrierosrl.eu,False,False,False,False,False
www.roveda1955.com,False,False,False,False,False
http://www.fabianafilippi.it,False,False,False,False,False
www.paima.it,False,False,False,False,False
www.rickowens.eu/en,False,False,False,False,False
grisport.it,False,False,False,False,False
www.ysl.com,False,False,False,False,False
www.crestleather.com,False,False,False,False,False
www.errea.it,False,False,False,False,False
http://www.italianshoes.com,False,False,False,False,False
www.cofra.it,False,False,False,False,False
www.amfsnaps.com,False,False,False,False,False
tripeldue.it,False,False,False,False,False
http://www.bonaudo.com,False,False,False,False,False
world.dolcegabbana.com,False,False,False,False,False
pelletteriepalladio.it,False,False,False,False,False
www.ciclostar.it,False,False,False,False,False
yub.it,False,False,False,False,False
mariolevi.com,False,False,False,False,False
www.russodicasandrino.com,False,False,False,False,False
www.dondupville.com,False,False,False,False,False
postcard.it,False,False,False,False,False
www.faeda.com,False,False,False,False,False
www.conceriamarbella.it,False,False,False,False,False
www.gianvitorossi.com,False,False,False,False,False
www.gruppodani.com,False,False,False,False,False
www.imac-italia.it,False,False,False,False,False
www.miniconf.it,False,False,False,False,False
http://www.brioni.it,False,False,False,False,False
www.geox.biz,False,False,False,False,False
www.jilsander.com,False,False,False,False,False
www.abrahamindustries.it,False,False,False,False,False
www.calzaturificiojumbo.it,False,False,False,False,False
www.tenc.com,False,False,False,False,False
www.mvcgroup.com,False,False,False,False,False
trereinnovation.it,False,False,False,False,False
www.simonettagroup.com,False,False,False,False,False
www.incomitaly.com,False,False,False,False,False
www.unomaglia.it,False,False,False,False,False
www.nillab.it,False,False,False,False,False
http://www.gruppoperetti.com,False,False,False,False,False
http://www.pasubio.com,False,True,True,False,True
http://www.celine.fr,False,False,False,False,False
www.olipoutlet.com,False,False,False,False,False
www.masonispa.com,False,False,False,False,False
www.lamipel.it,False,False,False,False,False
mille885.com,False,False,False,False,False
www.colmar.com,False,False,False,False,False
www.finco1865.it,False,False,False,False,False
www.parajumpers.it,False,False,False,False,False
www.falcotto.com,False,False,False,False,False
www.otb.net,True,False,False,False,False
www.ips.moda,False,False,False,False,False
prontomoda.emimaglia.it,False,False,False,False,False
www.tivoligroup.it,False,False,False,False,False
www.falconeri.com,False,False,False,False,False
dreamprojectspa.it,False,False,False,False,False
b2b.dixiefashion.com,False,False,False,False,False
www.caovilla.com,False,False,False,False,False
www.grassi.it,True,False,False,True,False
http://www.sirp.com,False,False,False,False,False
www.eurosuole.com,False,False,False,False,False
http://www.uvex.de,False,False,False,False,False
www.gentilimosconi.it,False,False,False,False,False
www.antiba.it,False,False,False,False,False
ru.piquadro.com,False,False,False,False,False
menghi.com,False,False,False,False,False
http://www.maxmarafashion.com,False,False,False,False,False
www.cuoioditoscana.it,False,False,False,False,False
http://www.gilmar.it,False,False,False,False,False
www.bonis-spa.com,False,False,False,False,False
vicolo.com,False,False,False,False,False
http://www.renzofavero.com,False,False,False,False,False
aspesi.com,False,False,False,False,False
www.baseprotection.de,False,False,False,False,False
conceriacadore.it,False,False,False,False,False
www.brandsindustry.com,False,False,False,False,False
www.robertocavalli.com,False,False,False,False,False
www.shop-msgm.com,False,False,False,False,False
skandiashoes.com,False,False,False,False,False
www.valmor.it,False,False,False,False,False
www.iniziativeconciarieassociate.it,False,False,False,False,False
www.patterngroup.it,False,True,False,False,False
www.e-monnalisa.com,False,False,False,False,False
www.playtex.it,False,False,False,False,False
lottosport.com,False,False,False,False,False
www.slowear.com,False,False,False,False,False
www.altanaspa.com,False,False,False,False,False
www.rossetti.it,False,False,False,False,False
www.pellemoda.org,False,False,False,False,False
www.sixton.it,False,False,False,False,False
www.bulgari.com,False,False,False,False,False
corporategift.piquadro.com,False,False,False,False,False
www.dimargroup.com,False,False,False,False,False
www.carmens.it,False,False,False,False,False
www.hopenclo.com,False,False,False,False,False
us.kiton.com,False,False,False,False,False
www.cieffemilano.it,False,False,False,False,False
minoronzoni1953.it,False,False,False,False,False
www.lardini.com,False,False,False,False,False
elisabet.it,False,False,False,False,False
www.gmitaliane.it/claudia/,False,False,False,False,False
www.hide.it,False,False,False,False,False
www.isaia.it,False,False,False,False,False
www.bcn.it,False,False,False,True,False
shoesmyway.baldinini-shop.com,False,False,False,False,False
clothing.robertoriccidesigns.com,False,False,False,False,False
superior.it,False,False,False,False,False
ermannoscervino.com,False,False,False,False,False
www.sergiorossi.com,False,False,False,False,False
www.zamasport.it,False,False,False,False,False
www.orionspa.com,False,False,False,False,False
www.moorer.clothing,False,False,False,False,False
www.albertogozzi.it,False,False,False,False,False
www.decristofaroshoes.com,False,False,False,False,False
www.decorartex.com,False,False,False,False,False
www.rodolfozengariniofficial.com,False,False,False,False,False
http://www.brics.it,False,False,False,False,False
shop.gransasso.it,False,False,False,True,False
www.lubiam.it,False,False,False,False,False
sidi.com,False,False,False,False,False
www.pelletteriaalmax.com,False,False,False,False,False
waycapspa.com,False,False,False,False,False
http://www.icaleather.it,False,False,False,False,False
www.canali.com/it_it/,False,False,False,False,False
www.zumapellipregiate.com,False,False,False,False,False
www.dalbello.it,False,False,False,False,False
